quote,author
"Music can change the world because it can change people,Bono
"Music is the universal language of mankind",Henry Wadsworth Longfellow
"Where words fail, music speaks",Hans Christian Andersen
"Music is life itself",Louis Armstrong
"One good thing about music, when it hits you, you feel no pain",Bob Marley
"Without music, life would be a mistake",Friedrich Nietzsche
Music expresses that which cannot be put into words and that which cannot remain silent,Victor Hugo
Life seems to go on without effort when I am filled with music,George Eliot
"Music gives a soul to the universe, wings to the mind, flight to the imagination, and life to everything",Plato
"Music is the divine way to tell beautiful, poetic things to the heart",Pablo Casals
Music is the strongest form of magic,Marilyn Manson
Music is the literature of the heart; it commences where speech ends,Alphonse de Lamartine
The only truth is music,Jack Kerouac
Music washes away from the soul the dust of everyday life,Berthold Auerbach
Music is the moonlight in the gloomy night of life,Jean Paul Friedrich Richter
I don't make music for eyes I make music for ears,Adele
"The music is not in the notes, but in the silence between",Wolfgang Amadeus Mozart
"Music should strike fire from the heart of man, and bring tears from the eyes of woman",Ludwig van Beethoven
Music is the art which is most nigh to tears and memory,Oscar Wilde
"Music acts like a magic key, to which the most tightly closed heart opens",Maria von Trapp
"If music be the food of love, play on",William Shakespeare
Music is well said to be the speech of angels,Thomas Carlyle
He who sings scares away his woes,Miguel de Cervantes
"Where words leave off, music begins",Heinrich Heine
A painter paints pictures on canvas But musicians paint their pictures on silence,Leopold Stokowski
Music is the soundtrack of your life,Dick Clark
You are the music while the music lasts,TS Eliot
"The true beauty of music is that it connects people It carries a message, and we, the musicians, are the messengers",Roy Ayers
Music is like a dream One that I cannot hear,Ludwig van Beethoven
"If I cannot fly, let me sing",Stephen Sondheim
Music in the soul can be heard by the universe,Lao Tzu
Music produces a kind of pleasure which human nature cannot do without,Confucius
Music is the great uniter An incredible force Something that people who differ on everything and anything else can have in common,Sarah Dessen
"If you cannot teach me to fly, teach me to sing",JM Barrie
Music is the universal languageâ€¦ it brings people closer together,Ella Fitzgerald
"Jazz is not just music, it's a way of life, it's a way of being, a way of thinking",Nina Simone
I think music in itself is healing It's an explosive expression of humanity It's something we are all touched by,Billy Joel
Music can name the unnameable and communicate the unknowable,Leonard Bernstein
Music is the wine that fills the cup of silence,Robert Fripp
"Music, once admitted to the soul, becomes a sort of spirit, and never dies",Edward Bulwer-Lytton
"Pop music, disco music, and heavy metal music is about shutting out the tensions of life, putting it away",Peter Tork
Music is the emotional life of most people,Leonard Cohen
The wise musicians are those who play what they can master,Duke Ellington
Music is a higher revelation than all wisdom and philosophy,Ludwig van Beethoven
Music is what feelings sound like,Anonymous
Music can heal the wounds that medicine cannot touch,Debasish Mridha
"Without music, we are nothing",Anonymous
Music is the voice of the soul,Anonymous
"One good thing about music is when it hits you, you feel no pain",Bob Marley
Every life has a soundtrack There is a tune to each memory,Anonymous
Music brings people together in ways that words never could,Anonymous
"Music is a world within itself, with a language we all understand",Stevie Wonder
There's nothing like music to relieve the soul and uplift it,Mickey Hart
Music is love in search of a word,Sidney Lanier
In music the passions enjoy themselves,Friedrich Nietzsche
Music is my religion,Jimi Hendrix